Date,Time,Ticker,open,high,low,close,volume
20220711,09:30:00,AAPL,145.67,145.85,145.13,145.28,910387
20220711,09:31:00,AAPL,145.28,145.85,145.28,145.6301,344329
20220711,09:32:00,AAPL,145.63,145.85,145.4,145.7295,263827
20220711,09:33:00,AAPL,145.7,145.81,145.58100000000002,145.66,177941
20220711,09:34:00,AAPL,145.65,145.765,145.4132,145.42,191258
20220711,09:35:00,AAPL,145.4112,145.5292,145.18,145.19,251506
20220711,09:36:00,AAPL,145.186,145.186,144.6301,144.65,448319
20220711,09:37:00,AAPL,144.645,144.935,144.57,144.67,340827
20220711,09:38:00,AAPL,144.67,144.89,144.58,144.7,209554
20220711,09:39:00,AAPL,144.7,144.84,144.6,144.61,197884
20220711,09:40:00,AAPL,144.61,144.6214,144.25,144.42,296372
20220711,09:41:00,AAPL,144.41,144.6597,144.4,144.5788,172913
20220711,09:42:00,AAPL,144.58,144.649,144.47,144.585,174037
20220711,09:43:00,AAPL,144.5801,144.68,144.48,144.53,164494
20220711,09:44:00,AAPL,144.51,144.67,144.49,144.5685,171202
20220711,09:45:00,AAPL,144.56,144.57,144.4,144.48,269400
20220711,09:46:00,AAPL,144.4811,144.565,144.4001,144.5501,153476
20220711,09:47:00,AAPL,144.5552,144.5552,144.33,144.4342,164265
20220711,09:48:00,AAPL,144.455,144.49,144.16,144.195,257663
20220711,09:49:00,AAPL,144.19,144.21,143.99,144.07,344035
20220711,09:50:00,AAPL,144.07,144.16,143.82,143.88,267344
20220711,09:51:00,AAPL,143.889,143.9881,143.78,143.9621,162336
20220711,09:52:00,AAPL,143.96,144.0399,143.85,143.9,183220
20220711,09:53:00,AAPL,143.89,144.0,143.86,143.945,113156
20220711,09:54:00,AAPL,143.94,144.0,143.91,143.9714,152082
20220711,09:55:00,AAPL,143.97,144.195,143.93,144.105,201205
20220711,09:56:00,AAPL,144.105,144.24,144.01,144.07,162562
20220711,09:57:00,AAPL,144.0799,144.26,144.0399,144.17,206358
20220711,09:58:00,AAPL,144.18,144.3,144.15,144.28,171469
20220711,09:59:00,AAPL,144.27,144.3641,144.24,144.32,149225
20220711,10:00:00,AAPL,144.3111,144.3111,144.14,144.2782,157492
20220711,10:01:00,AAPL,144.26,144.26,144.05,144.161,179746
20220711,10:02:00,AAPL,144.16,144.1899,144.04,144.14,132037
20220711,10:03:00,AAPL,144.15,144.3,144.11,144.2102,136978
20220711,10:04:00,AAPL,144.2185,144.2499,144.15,144.19,61731
20220711,10:05:00,AAPL,144.1839,144.29,144.11,144.13,110910
20220711,10:06:00,AAPL,144.13,144.29,144.09,144.175,154108
20220711,10:07:00,AAPL,144.18,144.4149,144.16,144.385,206781
20220711,10:08:00,AAPL,144.3842,144.5,144.32,144.38,204127
20220711,10:09:00,AAPL,144.375,144.47,144.365,144.42,122448
20220711,10:10:00,AAPL,144.425,144.51,144.3301,144.39,194393
20220711,10:11:00,AAPL,144.38,144.66,144.36,144.592,207694
20220711,10:12:00,AAPL,144.59,144.63,144.3418,144.39,159558
20220711,10:13:00,AAPL,144.39,144.6,144.36,144.4908,111485
20220711,10:14:00,AAPL,144.49,144.5,144.34,144.34,125947
20220711,10:15:00,AAPL,144.33,144.4499,144.28,144.44,139868
20220711,10:16:00,AAPL,144.455,144.73,144.44,144.6799,175264
20220711,10:17:00,AAPL,144.68,144.83,144.62,144.7257,180154
20220711,10:18:00,AAPL,144.74,144.761,144.54,144.6681,153132
20220711,10:19:00,AAPL,144.67,144.72,144.58,144.6001,94951
20220711,10:20:00,AAPL,144.59,144.715,144.53,144.6101,132363
20220711,10:21:00,AAPL,144.62,144.68,144.42,144.43,156269
20220711,10:22:00,AAPL,144.42,144.47,144.31,144.34,164082
20220711,10:23:00,AAPL,144.34,144.51,144.3348,144.47,108144
20220711,10:24:00,AAPL,144.46,144.64,144.4501,144.5995,107402
20220711,10:25:00,AAPL,144.59,144.81,144.5501,144.76,156502
20220711,10:26:00,AAPL,144.7608,144.93,144.73,144.9,179927
20220711,10:27:00,AAPL,144.91,144.93,144.84,144.8501,142973
20220711,10:28:00,AAPL,144.85,144.97,144.79,144.88,120685
20220711,10:29:00,AAPL,144.88,145.03,144.8641,144.99,109050
20220711,10:30:00,AAPL,144.98,145.15,144.9309,145.1,154964
20220711,10:31:00,AAPL,145.13,145.29,145.08,145.265,159502
20220711,10:32:00,AAPL,145.26,145.343,145.2,145.2348,141474
20220711,10:33:00,AAPL,145.2344,145.24,145.16,145.21,116200
20220711,10:34:00,AAPL,145.21,145.3,145.195,145.3,102615
20220711,10:35:00,AAPL,145.31,145.32,145.14,145.175,130992
20220711,10:36:00,AAPL,145.18,145.28,145.16,145.24,89803
