Symbol,since
RTX,516012127
O,516059905
REG,515856493
REGN,515920768
RF,515897074
RSG,515920060
RMD,516040409
RHI,516064795
ROK,516064978
ROL,515667730
ROP,515901761
ROST,516060994
RCL,516072020
SPGI,515912956
CRM,516072797
SBAC,516036541
SLB,516059008
STX,515926166
SEE,515740347
SRE,515991430
NOW,516021775
SHW,516030678
SPG,515956191
SWKS,515961462
SNA,515981570
SO,516064103
LUV,516029839
SWK,515853466
SBUX,516065772
STT,516046348
STE,515921945
SYK,515969569
SIVB,516038466
SYF,516001590
SNPS,515909590
SYY,515853920
TMUS,516070681
TROW,515977978
TTWO,516052576
TPR,516023099
TGT,516017919
TEL,515931366
TDY,515764572
TFX,515920246
TER,515727889
TSLA,508970203
TXN,516031206
TXT,515897563
TMO,516072057
TJX,516001407
TSCO,516042920
TT,516067922
TDG,516019276
TRV,515643248
TRMB,516074677
TFC,516018576
TWTR,0
TYL,516045718
TSN,516063673
UDR,515535235
ULTA,516074586
USB,516073804
UAA,516051226
UA,516051190
UNP,516063057
UAL,516072723
UNH,516066176
UPS,516074301
URI,516004106
UHS,516055308
UNM,516073507
VLO,516063751
VTR,515988265
VRSN,515887295
VRSK,515947645
VZ,516067471
VRTX,516036881
VFC,516074467
VIAC,0
VTRS,516055133
V,516065873
VNO,516046620
VMC,516014361
WRB,515651690
WAB,515877882
WMT,516063072
WBA,516074043
DIS,516072370
WM,516041906
WAT,516014394
WEC,515285603
WFC,516066378
WELL,516064934
WST,515908987
WDC,516066220
WU,516043466
WRK,515657803
WY,515690230
WHR,516008112
WMB,515895699
WLTW,514141388
WYNN,516061902
XEL,515967737
XLNX,514272097
XYL,516074142
YUM,516040474
ZBRA,515909592
ZBH,515918860
ZION,515667272
ZTS,515912958
ALXN,515134453
HFC,512107061
FLIR,514571780
VAR,515514441
FLS,516063142
SLG,516068591
XRX,515820822
VNT,515359233
FTI,515993279
CXO,513202548
TIF,513692492
AIV,515626470
NBL,511869061
ETFC,511885637
HRB,515171360
COTY,516003332
KSS,516069913
ADS,516047941
HOG,516051251
JWN,516069913
HP,515846305
CPRI,516052585
AGN,510189260
M,516069913
RTN,515588375
XEC,513285906
WCG,510512701
AMG,515724750
TRIP,516049262
MAC,516017355
STI,508929741
VIAB,0
CELG,512459565
NKTR,515998637
JEF,516055611
TSS,439787000
APC,492253756
FL,515968488
RHT,514064605
LLL,516034580
MAT,516018876
DWDP,512732350
FLR,516061857
BHF,516073439
GT,515921086
NFX,491412172
PCG,515983235
SCG,459246046
ESRX,487908729
COL,500321309
AET,512519812
SRCL,516067719
EQT,516043693
CA,514705779
EVHC,492320264
ANDV,505156155
XL,0
GGP,512101087
DPS,516066368
TWX,515931796
RRC,516036752
AYI,515894019
MON,509040755
NAVI,515868767
WYN,513632359
CSRA,343578133
SIG,515888264
PDCO,515948596
CHK,515955243
SNI,515727195
BCR,514056281
LVLT,515660973
SPLS,506152236
WFM,510973927
AN,515942598
RIG,516066551
BBBY,511072608
MUR,515951424
MNK,0
RAI,508254084
YHOO,515614871
TDC,515804090
R,516070722
MJN,461231054
TGNA,516035953
DNB,515921119
SWN,516057014
URBN,515983468
FTR,0
FSLR,516074746
HAR,498368870
LLTC,287973211
ENDP,0
PBI,516074734
SE,516074797
STJ,510386807
OI,515920513
LM,508628095
AA,516037498
DO,515929236
HOT,515848182
EMC,515777078
CPGX,186993523
GAS,512862787
TE,514387363
CVC,504414385
BXLT,153130358
CCE,508076419
ARG,508137374
TWC,515850848
SNDK,507231090
ADT,515920664
GME,516073345
THC,516060220
CAM,511168417
POM,512315766
ESV,513549297
GMCR,492567783
CNX,515956912
PCL,371721065
PCP,505440891
BRCM,500261840
FOSL,515898596
ALTR,516000882
CMCSK,511455338
CSC,484974922
SIAL,392669828
GNW,515979819
HCBK,514837278
JOY,515243449
HSP,489935712
PLL,516038306
DTV,515396095
NE,516039646
FDO,512416751
KRFT,508579117
ATI,515914866
TEG,424257602
QEP,507436298
LO,507486348
WIN,515647859
DNR,0
NBR,516070461
AVP,502161490
CFN,394363200
PETM,515607654
SWY,512465813
COV,485452914
BMS,0
JBL,516005180
BTU,516030652
GHC,515903109
RDC,203132380
X,516071524
FRX,0
IGT,516023256
LSI,515928905
BEAM,516050048
SLM,515571894
CLF,516070962
WPX,506537103
LIFE,516048673
ANF,515839402
JDSU,516071253
MOLX,260448259
JCP,515466013
NYX,514897909
DELL,516071032
SAI,515090628
BMC,516049462
S,516073494
APOL,500459379
FHN,516011726
HNZ,504578632
DF,192050501
CVH,496949020
PCS,511199974
BIG,516003320
FII,514251405
TIE,509038124
RRD,509066946
CBE,395739045
SUN,515899737
ANR,493094025
LXK,510416444
DV,516073350
SHLD,0
GR,506819078
PGN,47104669
SLE,403499328
NVLS,0
MMI,515875825
EP,515832744
SVU,492351662
MHS,248173791
CEG,515939619
CPWR,514884870
TLAB,513421387
AKS,511603409
MWW,353289404
WFR,0
JNS,508891857
ITT,515878484
CEPH,490914723
NSM,296078705
MI,510743446
RSH,38822205
MEE,482876376
NOVL,0
GENZ,184631542
Q,0
MFE,0
AYE,476364624
KG,481138790
EK,516063375
ODP,515920484
NYT,516003211
PTV,0
SII,515858575
MIL,511646273
STR,515917779
XTO,497148082
BJS,496876263
RX,0
CIEN,516074892
DYN,515924571
KBH,516013326
CVG,512083215
SGP,0
ACAS,503952390
JNY,467176870
WB,515735926
LEH,514671002
FRE,515852936
FNM,515967017
ABK,0
TRB,0
DJ,0
AV,514152334
SLR,0
NCR,515634422
FDC,439791487
KSE,0
TSG,514828523
SBL,0
ABS,512364203
GLK,0
QTRN,0
BS,0
GRA,514864409
CCK,515531741
RAD,516022459
LDW,0
TECH,515619896
BRO,515986680
CDAY,516008351
MTCH,516072820
CTRA,516072200
SPY,427517127
SPX,516074799
$SPX.X,0
BALL,516041359
CPT,515916373
ELV,516033181
EPAM,516070459
FDS,515931924
KDP,516066368
META,516074349
MOH,515848079
NDSN,516074121
ON,516059520
PARA,516075248
SBNY,516070236
SEDG,516019568
VICI,515972428
WBD,516075018
WTW,516020443
CSGP,515669939
INVH,515865038
TRGP,516038697
BRK-B,516070676
BF-B,515999395
ACGL,516000415
GEN,515971617
STLD,515934503
GEHC,515895036
